Text,Type
เพิ่งลองสั่งซื้อครั้งแรกค่ะ แล้วก็ประทับใจมาก  ,pos
เม็ด เล็กไปหน่อยคับ,neg
เม็ดเล็ก เนื้อน้อย,neg
เม็ดแห้งมากๆ,neg
เม็ดแห้งรีบไป,neg
เม็ดไม่ใหญ่เหมือนในรูป เจอเม็ดลีบแข็ง เม็ดไม่อ้า ทำให้กินยาก,neg
เมล็ดทานตะวันก็อร่อย กินเพลินดี ไม่เหม็นหืน เม็ดไม่รีบ,pos
เราว่ารสเค็มเด่นเกินไป,neg
เราสั่งมาขายลูกค้าทุกคนบอกว่าอร่อยค่ะ,pos
เริ่ดที่สุดจ้า,pos
เล็กกว่าที่คิดมากก ,neg
เลยทิ้งทั้งหมดที่ซื้อ,neg
เลิกขายเถอะคะ,neg
เวลาทอดแล้วกลิ่นแรงมากเหมือนปลาร้าทอดเลย,neg
เวลาลูกค้าไม่รับของอย่าว่าเค้าเลย,neg
เศษเล็กๆหกเลอะเทอะในกล่อง ,neg
เสียเงินเสียเวลา ,neg
เสียเงินไป200 กว่าบาทรู้สึก เสียดายเงิน ,neg
เสียเวลา เสียดายเงิน เสียความรู้สีกกับคนแบบนี้จริงๆ,neg
เสียเวลาตามของมากค่ะ,neg
เสียดายเงิน,neg
เสียดายเงินมาก ,neg
เสียดายเงิยที่ซื้อไปซื้อเพราะเห็นรีวิวเยอะ,neg
เสียดายมากๆเลย,neg
เสียตรงที่ปลาหมึกดำไปหน่อย,neg
เสียตรงหีบห่อค่ะ ,neg
เห็ดหอมมีก้านทำให้น้ำหนักเยอะแล้วก็เก่า,neg
เห็ดหอมสภาพดีค่ะ  ดอกไม่ใหญ่มากขนาดกลางๆ ,pos
เหนียวติดมือ ,neg
เหม็นแป้งดิบมาก ,neg
เหม็นกลิ่นขี้แมลงสาบ,neg
เหม็นหืนด้วย,neg
เหม็นหื๋นมากกกกก,neg
เหมาะสำหรับคนชอบเค็มๆๆๆ ,neg
เหมือนเก็บไว้นาน,neg
เหมือนเก็บไว้นาน,neg
เหมือนเอาของเก่าปนมา ,neg
เหมือนไปซื้อเองที่เชียงรายเลย5555ชอบมากๆไว้กลับมาซื้อใหม่นะคะ,pos
เหมือนไม่ใช่ปลา ทอดไม่ฟูเลย,neg
เหมือนกับรูปที่โชว์,pos
เหมือนของค้าง แป้งแข็ง,neg
เหมือนของค้างนาน ,neg
เหมือนตัวจะเล็กไปหน่อยสำหรับเอว24​ ,neg
เหมือนมีรสชาติแปลกกลิ่นหืนค่ะสินค้าเก่าไปไม๊,neg
เหมือนลมมันเข้าไปทำให้เมล็ดพิตาชิโอไม่ค่อยกรอบเท่าที่ควร,neg
เอ้ย มันใช่เหรอ,neg
เอวกางเกงเย็บไม่ค่อยดีค่ะ,neg
เอาเป็นว่ายังไงก็รับไม่ได้กับอาหารที่มาพร้อมมดแบบนี้นะคะ,neg
เอาของเก่ามาให้,neg
เอามากินเล่นได้เลยกรอบอร่อยอมหวานนิดๆ ,pos
เอามาทำกับข้าวไม่อร่อย ,neg
แกะง่าย อร่อยมาก,pos
แข็ง หยาบ ไม่นิ่ม,neg
แข็งไปนะคะ ,neg
แข็งมาก ,neg
แข็งหนา ,neg
แค่ตัวโหลบุบและมีเศษผงเปื้อนบนฝาด้วย ,neg
แต่การบริการไม่โอเครเลยค่ะ ,neg
แต่งวดนี้สีอ่อนไปนิด ทุกทีพริกแดงก่านี้,neg
แต่ปริมาณไม่ใช่ 500 กรัมตามที่โฆษณาไว้,neg
แต่มันเสียความรู้สึก ,neg
แต่รสชาติติดขม,neg
แต่ละแผ่นมันหนาและทึบมาก ,neg
แต่ละชิ้นค่อนข้างใหญ่ กรอบรถชาติดี ,pos
แต่ส่วนตัวว่ามันไม่หอมถั่ว  ,neg
แถมชิ้นใหญ่กว่าปกติด้วย คุ้มค่ามากครับ,pos
แถมส่งเร็วทันใจอีกด้วย,pos
แทนที่จะแก้ไข  ,neg
แนะนำร้านนี้เลย คุณภาพดี ส่งเร็ว,pos
แบบนี้ไม่ค่อยโอเครเด้อ,neg
แบบมีแค่3 แบบเองคะ  ไม่หลากหลายเลย,neg
แป้งไม่กรอบเหมือนการสั่งรอบที่แล้ว,neg
แป้งไม่สุก ,neg
แป้งค่อนข้างเยอะ,neg
แปลกๆดี รสชาติประมาณโมจิแต่มีเนื้อมะพร้าวละเอียดแทรก ,pos
แพ็กของดี ไม่มีแตกชำรุด แต่มีกล่องบุบเล็กน้อย,pos
แพคเกจไม่ดีเลยค่ะ ถุงแตกทั้ง 2 ถุงเลย,neg
แพคไม่แน่น กระปุกบุบไปบ้าง,neg
แพคไม่ดี ถุงแตกมีรอบคัตเตอร์กรีด,neg
แพ้คกันกระแทกมาอย่างดี ,pos
แพ็คของเรียบร้อย ชอบมากเลยค่ะ ดีมาก,pos
แพคของแน่นดีมาก มีกันกระแทก,pos
แพ็คของไม่ละเอียด ,neg
แพ็คของมาดีมากๆ เลย,pos
แพ็คของมาอย่างดีค่ะ การจัดส่งรวดเร็วว่องไว หีบห่อมาดีค่ะ ,pos
แพ็คงานใส่ถุงมาไม่มีกันกระแทกแต่ก็ไม่เคยมีความเสียหาย ,pos
แพคดี  แต่ส่งช้าไป,neg
แพ็คดี ส่งไว อร่อยยยย,pos
แพ็คมาไม่ค่อยดี,neg
แพ็คมาไม่ค่อยดี,neg
แพคมาดี รสชาดอร่อย ส่งไว ,pos
แพ็คมาดีไม่เสียหาย ,pos
แพ็คมาอย่างดีไม่มีกลิ่นเลย ,pos
แพ็คมาอย่างดีคะหน้าทานมาก,pos
แพคส่งอย่างดีไม่ต้องรอส่งจากจีนเลย   ,pos
แพคสินค้าดี ,pos
แพคสินค้าดีค่ะ ไม่เสียหายเลย,pos
แพ้คสินค้ามาดี,pos
แพคสินค้ามาดีมากๆๆๆๆ ,pos
แม่ค้าแพ็คมาเป็น 2 ถุง ถุงละ 25 ลูกเรียบร้อยมากค่ะ,pos
แม่ค้าควรจะรับผิดชอบส่วนที่ไม่ครบ ,neg
แม่ค้าจัดส่งไวมากกก ,pos
แม่ค้าน่ารัก ทักมาบอกจะคืนเงินส่วนต่างตั้งแต่วันที่ส่งของมาให้,pos
แม่ค้าน่ารัก มีเขียนมาแนะนำ ,pos
แม่ค้าน่ารัก สั่งหลายรอบแล้วค่ะ,pos
แม่ค้าน่ารักใส่ใจแจ้งเลขเร็วมาก,pos
แม่ค้าน่ารักค่ะ,pos
แม่ค้าน่ารักมาก ให้บริการดีมาก ,pos
แม่ค้าน่ารักมากๆ,pos
แม่ค้าน่ารักมากๆอินบ็อกมาแจ้งวิธีรับประทานและมีปลาแถมให้อีก1ตัว,pos
แม่ค้าบริการดี ตอบแชตเร็วคร้า,pos
แม่ค้าบริการดีมากกกค่า ,pos
แม่ค้าบริการตอบรับข้อความผู้ซื้อได้ดีและไวมากค่ะ ,pos
แม่ค้าร้านนี้ไม่รับฟังความคิดเห็นของลูกค้าโปรดระวังด้วยคะ  ,neg
แม้ค้าส่งของได้ไม่ตามนัด,neg
แม่ค้าห่อดีมาก  ขนาดส่งมากทม   ไม่มีเฉา สมราคา  สินค้าคุณภาพ,pos
แม่ชอบมาก ต้องได้สั่งอีกแน่นอน,pos
แม่บอกอร่อยมากค่ะ,pos
แล้วก็เจอหนอนเยอะไปหน่อย ,neg
แล้วของขาดนี่ให้ชมหรอคะ,neg
แล้วจะมาอุดหนุนใหม่,pos
และส่งถึงบ้านตามกำหนด มีการแจ้งบอก,pos
แอบเหม็นค่ะ ,neg
แอบขมไปนิดหน่อยครับ,neg
แอบผิดหวังเล็กๆกับสินค้า,neg
แอบผิดหวังกับลายค่ะ ลายเกิน ไม่หวานเลยสักนิด,neg
แอบมีกลิ่นเหม็นหืน ,neg
แอบหย่อนกิโลไปนิด,neg
โกหก ใส่ไข่ โฆษณาไม่ตรงกับสินค้า ของเกรดต่ำทั้งเก่า ทั้งเม็ดฝ่อ เม็ดเล็ก เม็ดซีก ไม่ตรงกับที่แสดงสินค้าซักอย่าง,neg
โดยรวมแล้วโอเค,pos
โดยรวมไม่ถูกใจค่ะ ,neg
โดยรวมๆแล้ว ให้ผ่านครับ ห้าดาวเลยครับดี,pos
โดยส่วนตัวไม่ค่อยถูกปากค่,neg
โดยส่วนตัวชอบมากกกกกกค่ะ,pos
โอเคเลยครับ,pos
โอเครเลยราาคาานี้ หมดแล้วจะสั่งอีกนะคะ ชอบบบบบบคะ ชอบบบบบบบบบบบ,pos
โอกาศหน้าจะต้องสั่งอีกแน่ๆ,pos
ใครกินก็ติดใจ,pos
ใครจะซื้อพิจารณาด้วยนะคะร้านนี้,neg
ในขวดมันเยิ้มกลิ่นเหม็นหึน,neg
ใส่แล้วตะเข็บขาด,neg
ใส่ได้ไม่พอดี ,neg
ใส่ได้ไม่พอดี สินค้ามีตำหนิ,neg
ใส่ได้พอดีลูกสาวชอบค่ะ ใส่ไปคงชินกับเนื้อผ้าแบบนี้ ,pos
ใส่ได้วันเดียวขาด,neg
ใส่ไม่ได้ผ้าไม่ดี ,neg
ใส่ไม่สบายค่ะ,neg
ใส่ไม่สบายอย่างที่คิด  ,neg
ใส่กล่องเล็กกว่าของ จนกล่องนูนๆ ,neg
ใส่ลังเล็กๆมาแล้วมันก็อัดกันแน่นทำให้กล่องบุบ ไม่ดีเลย,neg
ใส่สบายสบายเนื้อผ้าดี,pos
ให้เลขบัญชีก็โอนมาไวมากๆ,pos
ให้ปลามาน้อยมาก  ,neg
ไซต์เล็กกว่าปกติมาก,neg
ไซร์เล็กไปหน่อยและเค็มมาก,neg
ได้โปรส่งฟรีไปอีก คุ้มมากๆค่ะ,pos
ได้ของแล้วนะค้าาา อร่อยมากกกกกกชอบราคาไม่สูงเว่อด้วย ,pos
ได้ครบตามที่สั่ง,pos
ได้รับเเล้วกินหมดเเล้วอร่อยมากกกกกกกวันหลังจะสั่งอีกกกกกกกกกกกก,pos
ได้รับแล้วคะ เเพ็คของดีงาม,pos
ได้รับของแล้ว มาส่งเร็วกว่าที่คิด แพ็คสุญญากาศมาเรียบร้อย,pos
ได้รับของแล้วค่ะ กล่องที่แพ็คมาสถาพดี  ,pos
ได้รับของแล้วค่า ได้เร็วมาก ,pos
ได้รับของแล้วหอมมาก ,pos
ได้รับของไวมากค่ะ ,pos
ได้รับพัสดุแล้ว สินค้าตรงตามมี่โฆษณา ส่งเร็ว ราคาถูกก,pos
ได้รับสินค้าเรียบร้อย แพคของมาเรียบร้อยมาก ห่อใบตองมาให้อย่างดี มีหนังสือพิมพ์คลุมมาอีกชั้นนึงอีก ,pos
ได้รับสินค้าเรียบร้อย คุณภาพสินค้าดีมาก  ,pos
ได้รับสินค้าเรียบร้อย พริกทอด กรอบ อร่อย ถูกใจค่ะ ,pos
ได้รับสินค้าแล้วนะคะ​ เก็บเงินปลายทางสะดวกดีชอบ​,pos
ได้รับสินค้าแล้วนะคะส่งของไวมากแพ็คของมาดี ไม่เสียหาย,pos
ได้รับสินค้าแล้วรสชาติเหมือนขนมจากค่ะ  ,pos
ได้รับสินค้าไม่ตรงไซน์ที่สั่ง,neg
ได้รับสินค้าครบถ้วนในสภาพเรียบร้อยดีค่ะ  ,pos
ได้รับสินค้าครบถ้วนตามสั่งเร็วไวทันใจดี  สินค้ามีคุณภาพ ชอบมากๆ ,pos
ได้รับสินค้าถูกต้องตามที่สั่งค่ะ แต่ไม่ครบ ,neg
ได้รับสินค้ารวดเร็วถูกต้อง รสชาติดีมากกรอบอร่อยไม่เผ็ดมาก ,pos
ได้รับสินค้ารวดเร็วมาก ,pos
ได้ลายซ้ำกันไป,neg
ได้ส่วนลดแล้ว คุ้มมากๆครับ,pos
ได้สินค้าเรียบร้อยแล้ว อาจจะรอนานไปนิด ..แต่ข้างในคุณภาพโอเค สมราคา,pos
ได้สินค้าไม่ตรงกับที่แจ้งแม่ค้าไปค่ะ,neg
ได้สินค้ามาไม่ตรงกับที่ต้องการ,neg
ได้สินค้ามาไม่ตรงกับที่ต้องการ,neg
ไม่เหม็นไม่เก่า,neg
ไม่เหม็นหืน เนื้อแห้งไม่เปียกเยิ้ม มันน้อย,pos
ไม่เหมือนในภาพ,neg
ไม่ใช่ให้ตีคืน ส่งไปส่งมา,neg
ไม่ใช่ปลาทูมัน เค็มน้อยอย่างที่บอก เสียใจ,neg
ไม่ใช่ปลาทูมันนะท่านผู้ชม ผิดหวังมากๆ ,neg
ไม่ใช่อย่างที่ฝัน ,neg
ไม่ใส่กันกระแทกมา,neg
ไม่ใหม่ ไม่กรอบ มีกลิ่นหืน,neg
ไม่ได้นิ่มแบบที่คิดค่ะ,neg
ไม่ได้มีปัญหาอะไร ไว้คราวหน้าจะมาสั่งใหม่นะครับ,pos
ไม่ได้รับสินค้า,neg
ไม่กรอบเท่าไหร่ มันเหนียวๆ,neg
ไม่ควรเอาปลาเก่ามาปนกันในโหลเพราะเนื้อปลามันยุ่ยแล้วกินไม่ได้มันเหม็นครับ,neg
ไม่ค่อยกรอบ  บางเม็ดเนื้อยุ่ย,neg
ไม่ค่อยคุ้มค่า,neg
ไม่ค่อยคุ้มค่าซักเท่าไหร่,neg
ไม่ค่อยถูกใจค่ะ,neg
ไม่ค่อยสด ,neg
ไม่ค่อยหอมมมม,neg
ไม่ค่อยอร่อย,neg
ไม่ค่อยอร่อย มีกลิ่นหืนนิดๆ กินได้ทีละ 2-3 เม็ดต้องหยุดค่ะ,neg
ไม่ค่อยอร่อยเท่าไหร่,neg
ไม่ค่อยอร่อยเท่าไหร่,neg
ไม่คิดว่าบรรจุภัณฑ์จะเป็นแบบนี้ ,neg
ไม่คุ้มกับความรู้สึกเมื่อเจอ  ,neg
ไม่ตรงตามแบบ ,neg
ไม่ตรงตามที่ร้านแจ้งไว้ ,neg
ไม่ถูกปากเราค่ะ,neg
ไม่น่าจะอุดหนุนใหม่ครั้งหน้า,neg
ไม่ประทับใจเลย  ในถุงมีมดเยอะเลย,neg
ไม่ปลื้ม,neg
ไม่ผิดหวังค่ะ,pos
ไม่พอดีคำ คำใหญ่ไป,neg
ไม่มีกลิ่นเหม็นค่ะ ,neg
ไม่มีกลิ่นชา,neg
ไม่มีกลิ่นหอมชาค่ะ ใส่เยอะก็ยังไม่หอม,neg
ไม่มีครั้งต่อไปแล้วคะ,neg
ไม่มีครั้งต่อๆไปแน่นอนค่ะ ,neg
ไม่มีความอร่อยเลยเสียดายเงิน,neg
ไม่มีรูปบอกสินค้าที่ชัดเจน ,neg
ไม่มีสำนึก ขอให้ขายของดีนะจ้ะ ,neg
ไม่มีหกหรือเเตกเลย ,pos
ไม่ระบุวันหมดอายุ ทิ้งอย่างเดี๋ยว,neg
ไม่หอม ,neg
ไม่หืน กรอบ กินกับข้าวก็อร่อย,pos
ไม่อร่อย ,neg
ไม่อร่อย ,neg
ไม่อร่อย  ,neg
ไม่อร่อย เฉยๆ ,neg
ไม่อร่อย แป้งเยอะ และมันด้วย,neg
ไม่อร่อย และก็เผ็ดปานกลาง ,neg
ไม่อร่อย ไม่มีกลิ่นของเนื้อปลาเลย ,neg
ไม่อร่อย มีกลิ่นแปลกๆ,pos
ไม่อร่อยเท่าที่เคยกิน ,neg
ไม่อร่อยเลย,neg
ไม่อร่อยเลยอะ,neg
ไม่อร่อยเหมือนที่เคยกิน ,neg
ไม่อร่อยค่ะ ,neg
ไม่อายที่เอาสินค้ากระจอกแบบนี้มาขาย ถือว่าหลอกลวง ,neg
ไว้เป็นบทเรียนว่าไม่ควรสั่งอาหารส่งพัสดุมาแบบนี้อีก,neg
ไว้งวดหน้าสั่งอีกค่ะ,pos
ไว้จะมาอุดหนุนใหม่นะคะ,pos
ไว้จะมาอุดหนุนใหม่นะคะ,pos
ไว้จะสั่งเพิ่มอีกนะคะ,pos
ไว้จะสั่งเพิ่มอีกนะคะ ,pos
ไว้จะสั่งซื้ออีกนะคะ ,pos
ไว้จะอุดหนุนอีกแน่นอนค่ะขอบคุณมากค่ะ ,pos
ไว้จะอุดหนุนอีกนะคะ,pos
ไว้วันนหลังจะอุดหนุนใหม่นะคะ ซื้อฝากแม่ แม่ชอบเลย,pos
ไว้สั่งอีกค่ะ ขอบคุณค่ะ,pos
ไว้อุดหนุนใหม่จ้าาาาาาา,pos
ไส้เค็มหวานกลมกล่อมดีค่ะ,pos
ไส้แน่นเต็มคำเป็นของฝากได้ถูกใจ,pos
"ไส้คือ ""กระจิ๊ด"" มาก คือแทบจะไม่มีเลย ควรปรับปรุงตรงนี้นะครับ",neg
ไส้น้อยมาก,neg
ก็โอเคอยู่ค่ะ ,pos
ก้นถุงรั่วค่ะ ,neg
กรอบ เผ็ดกำลังดี ดูใหม่และสะอาด,pos
กรอบ อร่อยมากค่ะ,pos
กรอบดี ไม่เผ็ดไม่มันเกินไป ไม่เหม็นหืน​,pos
กรอบรสชาติอร่อย,pos
กรอบอร่อยดี ไม่เผ็ดมาก ของใหม่,pos
กระป๋องบิดเบี้ยวมาเชียว,neg
กระป๋องบุบหน่อยๆ,neg
กระปุกแฟ๊บบุบเป็นจำนวนมาก น่าจะมากกว่าครึ่ง,neg
กระปุกบุบบี้มาทั้ง2กระปุกเลยค่ะ,neg
กระปุกบู้บี้มาก น้ำมันเยิ้มๆ,neg
กล่องแพ็คมาอย่างดีไม่มีรอยบุบหรือยุบเลย ส่งมาเร็วมากๆ ,pos
"กล่องแอบบู้บี้นิดหน่อย 

",neg
กล่องบุบไปนิด ,neg
กล่องบุบไม่ว่าแต่นี่มันเหม็นเหมือนมีขี้แมลงสาบปนอยู่อ่ะ,neg
กล่องบุบบี้มาก ,neg
กล่องพริกบุบไปหลายอันอยู่ ,neg
กล่องรู้สึกมันหน่อยๆ,neg
กลับมาสั่งอีกแน่นอน,pos
กลับมาสั่งอีกแน่นอนค่ะ ,pos
กลิ่นเครื่องปรุงแรงไป ,neg
กลิ่นเหม็นมาก ,neg
กลิ่นแปลกๆ ,neg
กลิ่นแรงไปหน่อย,neg
กลิ่นคาวปลาจะมากหน่อย ,neg
กลิ่นชาหอมมากก,pos
กลิ่นถั่วไม่เด่นค่ะ,neg
ก้อให้ 5 ดาวไปเลยค่ะ,pos
การแพ็คสินค้าถือว่าดีค่ะ ,pos
การให้บริการไม่ประทับใจเลย ,neg
การให้บริการจากขนส่งเคอรี่รวดเร็ว,pos
การให้บริการจากบริษัทขนส่งแย่ ,neg
การให้บริการจากบริษัทขนส่งดีมากค่าาาาา,pos
การให้บริการจากร้านค้าแย่มาก,neg
การให้บริการจากร้านค้าแย่มาก,neg
การให้บริการจากร้านค้าแย่มากๆ ,neg
การขนล่าช้ามากค่ะ ,neg
การจัดส่งช้าไปหน่อย,neg
การจัดส่งช้ากว่ากำหนด 3 วันค่ะ,neg
การจัดส่งที่รวดเร็ว​ ขอบคุณ​ครับ​,pos
การจัดส่งพัสดุเรียบร้อยดีเยี่ยม ,pos
การจัดส่งรวดเร็ว สินค้าที่ได้รับก็ตรงตามที่สั่งซื้อ ถูกใจมากเลยค่ะ,pos
การจัดส่งรวดเร็วมากมากครับ​ ,pos
การจัดส่งสินค้าจากทางร้านรวดเร็ว ,pos
การบริการของบริษัทชนส่งและพนักงานขนส่งบริการดีค่ะ,pos
กำลังแนะนำให้พี่สาวสั่งไปค่ะ,pos
กินเปล่าๆก็เพลิน ,pos
กินเพลิน ไม่หวานมาก  ,pos
กินเพลินครั้งเดียวหมดไปครึ่งถุง ,pos
กินเพลินมาก รสชาติดี  ,pos
กินเพลินๆจะหมดถุงแล้ว ,pos
กินแล้วไตวายแน่ๆๆๆ,neg
กินแล้วมีกลิ่นเหม็นหืนนิดหน่อยค่ะ,neg
กินแล้วสากๆ,neg
กินแล้วอร่อยดีค่ะได้กลิ่นยีสต์,pos
กินแล้วอารมณ์ค้างมากๆ,neg
กินได้ไม่เบื่อเลยค่ะ เพลินมากๆ รสชาติดี ,pos
กินไม่ได้เลยค่ะ ,neg
กินกับชา กาแฟกำลังดีเลย,pos
กินหมดแล้วจะสั่งเพิ่มนะคะ ,pos
กุ้ง รสชาติเค็ม,neg
กุ้งขนาดเล็ก ไม่เป็นไปตามรูปภาพ,neg
กุ้งตัวเล็กมากยังกะกุ้งฝอย  ,neg
กุ้งตัวเล็กมากๆๆๆๆๆๆ ไม่เห็นเหมือนในรูปเลย ,neg
กุ้งตัวไม่ใหญ่มาก สมราคาค่ะ ส่งเร็วดี,pos
กุ้งมีเปลือก และ ค่อนข้างเค็ม มีกลิ่น เนื้อไม่แน่นฝ่อๆ,neg
กุนเชียงอร่อยดีค่ะ ไม่มีกลิ่นเหม็นคาวปลา ,pos
ขนมเจาะหูไม่ถูกปากเลย,neg
ขนมเจาะหูยิ่งแย่ หวานมากและแข็ง,neg
ขนมเหนียวไปหน่อย เคี้ยวยาก ,neg
ขนมไม่เสียหาย ,pos
ขนมดู นุ่มนิ่มมีไส้มะพร้าว รสกลมกลอม อร่อยดี ชอบมากค่ะ ,pos
ขนมดูอร่อยค่ะแบบที่คิดไว้เลย,pos
ขนมตุ๊บตั๊บแพคมาดีค่ะ ,pos
ขนมนุ่มมากๆๆๆๆๆค่ะ,pos
ขนมปั้นสิบ แป้งบางกรอบหอมอร่อยดีค่ะ,pos
ขนมมีแตกเสียหายค่ะ,neg
ขนมรสชาติอร่อยทุกอย่างเลย,pos
ขนมรสชาติอร่อยทุกอย่างเลย ,pos
ขนมรสชาติอร่อยมากๆ ,pos
ขนมอร่อย แพ็คมาดี ,pos
ขนมอร่อยมาก สดใหม่ ,pos
ขนมอร่อยมากกกกกก ถูกใจมากก ,pos
ขนมอาจจะมาช้าไปหน่อย แต่รสชาติอร่อย   ,pos
ขนส่งเคอรี่บริการดีค่ะ,pos
ขนส่งดีค่ะ รวดเร็ว ,pos
ขนาดเล็กกว่าที่คิด ,neg
ขนาดไม่เท่ากันค่ะ,neg
ขนาดกับราคาเหมาะสมกันดี,pos
ขวดยุ่ย,neg
ขอเตือน  ,neg
ขอให้1 ดาวละกัน,neg
ของใหม่ สด รสชาติดี ,pos
ของใหม่ดีจร้าาาาา ชอบบๆๆๆๆๆๆๆจร้าาาาาาา,pos
ของไม่สด ไม่กรอบ  ,neg
ของก็ ok ครับ ผ้านุ่มดี ,pos
ของข้างในสภาพดีค่ะ อร่อยดี ,pos
ของดีจริงๆนะคะ ,neg
ของที่ได้คุ้มราคาดีมาก,pos
ของมาถึงมีมดขึ้นด้วย ,neg
ของส่งช้า สินค้าที่ได้รับบุบบี้,neg
ขอบคุณ​ร้านค้ามากมากครับ สำหรับขนมที่อร่อย,pos
ขาดคะ ,neg
ขายแบบนี้แย่นะคะ,neg
ขายของไม่ตรงกับแจ้งลูกค้าแบบนี้แย่ค่ะ ,neg
ข้าวซอยตัดอร่อยมากกก นุ่มลิ้นหวานมัน,pos
คงได้อุดหนุนบ่อยๆนะคะ,pos
คงไม่อุดหนุนละค่ะ,neg
คงไม่อุดหนุนอีกแน่นอน,neg
คนแบบนี้ไม่ไหวจริงๆ,neg
ครั้งนี้เป็นครั้งแรกที่ทาน อร่อยดีค่ะ หนึบ หอม ไม่หวานเกินด้วยค่ะ,pos
ครั้งนี้เม็ดเล็กกว่าครั้งที่แล้วมากเลย  แถมมีเปลือกติดมาเยอะด้วย,neg
คราวหน้าจะมาสั่งซื่ออีกคะ,pos
คราวหน้าจะลองสั่งรสชาติอื่นบ้าง,pos
ควรจะมีวันเดือนปีที่ผลิต และวันที่หมดอายุ ,neg
ควรต้องลงโทษทางกฎหมาย จะได้ไม่ต้องโกหกแบบนี้ไปเรื่อยๆ ,neg
ควรมีการตรวจเช็คให้ดีก่อนส่งครับ ,neg
ความคุ้มค่าแย่,neg
ความคุ้มค่าแย่,neg
ความคุ้มค่าแย่ ,neg
ความคุ้มค่าแย่มาก,neg
ความคุ้มค่าแย่มาก ,neg
ความคุ้มค่าดีได้ปริมาณเยอะในราคาแบบนี้ ,pos
ความรวดเร็วในการจัดส่งแย่มาก,neg
ความรวดเร็วในการจัดส่งแย่มาก ,neg
ความรวดเร็วในการจัดส่งช้ามาก,neg
