Text,Type
"หอม อร่อยมากกกกกก 
",pos
หอมหวานค่ะ อร่อย ,pos
คุณภาพของสินค้าดีมาก ความคุ้มค่าดีมาก ,pos
กรอบ อร่อยมากค่ะ,pos
หอม อร่อย หวานน้อย ,pos
เผ็ดมากกกชอบ อร่อยดี ถึงเครื่องแกง,pos
อร่อย​ หอม​ เข็มข้นมาก,pos
คุ้มมากๆสินค้าดี,pos
สีสันลายสวยคุ้มค่าดี,pos
สินค้าดีมากเลยค่ะ ชอบมากค่ะ,pos
จัดส่งขนมอย่างรวดเร็ว  รสชาติขนมเหมือนกับขนมจาก ,pos
เพิ่งลองสั่งซื้อครั้งแรกค่ะ แล้วก็ประทับใจมาก  ,pos
สินค้าคุณภาพดีมาก แพ้คสินค้ามาดีมาก ,pos
เครื่องแกงหอมมากๆค่ะ,pos
โอเคเลยครับ,pos
พริกแกงหอมเผ็ดอร่อยมากค่ะ,pos
แม่ค้าน่ารักมากๆ,pos
ขนมนุ่มมากๆๆๆๆๆค่ะ,pos
ส่งเร็ว ของดี มีคุณภาพ น่าใช้ ซื้อเลยๆ,pos
พุทราจีนคุณภาพดีค่ะ อร่อย ,pos
อินทผาลัมคุณภาพดีค่ะ สะอาด ใหม่,pos
เท่าที่กินไม่มีมด,pos
สินค้าดีมากๆเลยครับ      ,pos
วัสดุแข็งแรงทนทาน,pos
สั่งมาปุ๊บวันถัดมาได้ใช้ทันทีเลย,pos
คุ้มค่ามากเลย,pos
บริการขนส่งก็ดีมาก,pos
แพ็คของมาดีมากๆ เลย,pos
ผู้ขายตอบข้อมูลดี ,pos
แพคส่งอย่างดีไม่ต้องรอส่งจากจีนเลย   ,pos
รอไม่กี่วันได้ของ,pos
คุ้มมากค่ะ,pos
ซื้อตอนโปรโมชั่นด้วยคุ้มสุดๆ ,pos
ผ้าดีนะคะ ,pos
ร้านนี้เป็นร้านประจำเลย ,pos
สั่งของร้านนี้ได้ของเร็วตลอดๆ แถมให้เป็นประจำ ,pos
แนะนำร้านนี้เลย คุณภาพดี ส่งเร็ว,pos
อร่อยดี กินกับกาแฟดำ เข้ากันดีมาก ,pos
จัดส่งรวดเร็ว ,pos
แพ็คมาดีไม่เสียหาย ,pos
อร่อยคุ้มค่า,pos
กินเพลินมาก รสชาติดี  ,pos
แพ็คดี ส่งไว อร่อยยยย,pos
ขนมอร่อยมากกกกกก ถูกใจมากก ,pos
ต้องสั่งมาเพิ่มแน่นอนคะ ,pos
รสชาติถูกปากมาก หอมน้ำตาลตะโหนดมะพร้าวหวานกำลังดี ลูกพอดีคำ,pos
อร่อย นุ่มหนึบ ,pos
ของก็ ok ครับ ผ้านุ่มดี ,pos
ส่งตรงตามกำหนด ,pos
แต่ละชิ้นค่อนข้างใหญ่ กรอบรถชาติดี ,pos
แปลกๆดี รสชาติประมาณโมจิแต่มีเนื้อมะพร้าวละเอียดแทรก ,pos
รสชาติดี กินเพลินเลย,pos
ร้านค้าให้บริการดีมากกกกกกกกก ,pos
ทันใช้พอดีเลยยยยยย ,pos
คุ้มจริงๆๆๆๆๆๆๆๆๆ ,pos
แพ็คของเรียบร้อย ชอบมากเลยค่ะ ดีมาก,pos
คุณภาพของสินค้าดีมากๆ มีของแถมให้ด้วย,pos
แม่ค้าน่ารักมากๆอินบ็อกมาแจ้งวิธีรับประทานและมีปลาแถมให้อีก1ตัว,pos
สวยคะเนื้อผ้าก็ดีคะ,pos
คราวหน้าจะมาสั่งซื่ออีกคะ,pos
แม่ค้าจัดส่งไวมากกก ,pos
แม่ค้าบริการตอบรับข้อความผู้ซื้อได้ดีและไวมากค่ะ ,pos
มีคำถามแม่ค้าก็ตอบคำถามดีค่ะ,pos
ชาหอม และรสชาติดีมากค่ะ คุ้มค่ามาก ,pos
ไว้จะสั่งซื้ออีกนะคะ ,pos
อร่อยคะไม่หวานมาก,pos
ทานคำแรกเฉยๆ คำที่สองยังไม่รู้รส คำที่สามนี่มันเลยค่ะ ,pos
เคี้ยวมันๆ ได้กลิ่นน้ำตาลอ่อนๆ ไม่หวานมาก อร่อยค่ะ ,pos
ครั้งนี้เป็นครั้งแรกที่ทาน อร่อยดีค่ะ หนึบ หอม ไม่หวานเกินด้วยค่ะ,pos
แม่ค้าน่ารัก ทักมาบอกจะคืนเงินส่วนต่างตั้งแต่วันที่ส่งของมาให้,pos
ให้เลขบัญชีก็โอนมาไวมากๆ,pos
หนึบและหอมดี อร่อยค่ะ ,pos
น่าจะหมดเร็วๆนี้ ,pos
ถ้าหมดแล้วจะสั่งใหม่นะคะ ,pos
ขนาดกับราคาเหมาะสมกันดี,pos
แม่ชอบมาก ต้องได้สั่งอีกแน่นอน,pos
แม่ค้าบริการดีมากกกค่า ,pos
บอกส่งวันไหนก็ส่งวันนั้นเลย ,pos
สินค้ามาตรงวันที่แจ้งเลยค่ะ ,pos
แพคสินค้ามาดีมากๆๆๆๆ ,pos
ตัวขนมอร่อยใช้ได้เลยค่ะ,pos
อร่อย กรอบ ,pos
ห่อมาดี มีกันกระแทก  ,pos
ห่อเล็กๆ แกะกินง่ายกว่าห่อใหญ่,pos
จัดส่งนับว่าเร็วประมาณ4-5วัน,pos
ไม่ผิดหวังค่ะ,pos
ขนมอาจจะมาช้าไปหน่อย แต่รสชาติอร่อย   ,pos
ขนส่งเคอรี่บริการดีค่ะ,pos
ก้อให้ 5 ดาวไปเลยค่ะ,pos
อร่อย ใหม่มากเลย ,pos
ไว้สั่งอีกค่ะ ขอบคุณค่ะ,pos
กินแล้วอร่อยดีค่ะได้กลิ่นยีสต์,pos
ไส้แน่นเต็มคำเป็นของฝากได้ถูกใจ,pos
อร่อยถูกใจทั้งครอบครัวค่ะ,pos
รสชาติผสมกันระหว่างขนมต้มกับไดฟูกุ ,pos
หอมแป้ง หอมมะพร้าว ,pos
กินกับชา กาแฟกำลังดีเลย,pos
ติดใจเดี๋ยวสั่งอีกแน่นอน,pos
สดใหม่ กรอบอร่อยจริงจัง ,pos
กินเพลินครั้งเดียวหมดไปครึ่งถุง ,pos
กินเพลิน ไม่หวานมาก  ,pos
รสชาติตัวแป้งหวานนิดๆ ,pos
ได้รับสินค้ารวดเร็วมาก ,pos
ร้านค้าให้บริการดี ,pos
สินค้าที่ได้รับมีคุณภาพดี ,pos
จะอุดหนุนอีกคะ ,pos
น้องพนักงานขนส่งบริการดี,pos
สินค้าแพคดีมาก,pos
เกินคาด ได้ของในวันถัดมา,pos
รายการถูกต้องครบถ้วน,pos
เหมือนกับรูปที่โชว์,pos
จะกลับมาซื้ออีกแน่นอน,pos
ดูใหม่ดี ไม่แตกหัก,pos
ดูใหม่อยู่,pos
เนื้อผ้าดี ,pos
ห่อส่งมาอย่างดี ,pos
ขนมไม่เสียหาย ,pos
เริ่ดที่สุดจ้า,pos
รสชาติอร่อย กรอบ ,pos
ได้ครบตามที่สั่ง,pos
อร่อยนิ่มไม่เเข็ง ,pos
ถูกใจมากค่ะ ,pos
สั่งเมื่อวานได้กินวันนี้เลย ,pos
คุณภาพสินค้าดีมากเทียบกับราคา 5 ดาวคงไม่พอ ,pos
ใส่สบายสบายเนื้อผ้าดี,pos
สินค้าดีมีคุณภาพค่ะ  ,pos
แม่ค้าน่ารักใส่ใจแจ้งเลขเร็วมาก,pos
หีบห่อแน่นหนา ,pos
ส่งของไวค่ะ,pos
ส่งเร็วแพ๊คดี,pos
แม่ค้าแพ็คมาเป็น 2 ถุง ถุงละ 25 ลูกเรียบร้อยมากค่ะ,pos
เต็มปากเต็มคำดี,pos
เป็นปั้นสิบที่ลูกใหญ่กว่าที่เคยกินนิดนึง,pos
เราสั่งมาขายลูกค้าทุกคนบอกว่าอร่อยค่ะ,pos
จัดส่งรวดเร็วดี ,pos
ของข้างในสภาพดีค่ะ อร่อยดี ,pos
ก็โอเคอยู่ค่ะ ,pos
งานเรียบร้อยดีค่ะ,pos
ส่งเร็วมาก ,pos
ร้านเอาใจใส่มากค่ะ,pos
รู้สึกดีกับโน๊ตที่แนบมาด้วย,pos
ราคาถูกมากกกกก ,pos
คุ้มคุ้มค่า  ,pos
ไว้จะสั่งเพิ่มอีกนะคะ,pos
ขนมรสชาติอร่อยมากๆ ,pos
ปลาชิ้นใหญ่,pos
ถูกใจมากๆๆๆๆอุดหนุนได้เลยร้านนี้ ,pos
คงได้อุดหนุนบ่อยๆนะคะ,pos
สำหรับคนที่จะสั่งมาขายแหล่งขาย 25 ลูกได้สบายค่ะ,pos
ไว้จะมาอุดหนุนใหม่นะคะ,pos
ชอบมากกกกกกกครับ,pos
 เดี๋ยวครั้งหน้าจะสั่งอีกแน่นอนค่ะ,pos
พนักงานขนส่งพูดจาดี สุภาพ,pos
แพ้คกันกระแทกมาอย่างดี ,pos
ส่งของช้า 1 วัน เพราะติดวันหยุดอันนี้เข้าใจและรับได้ครับ ,pos
คุณภาพของสินค้าดีค่ะ ,pos
ทางร้านบริการดีมีของแถมมาด้วย,pos
เกินราคา,pos
เอามากินเล่นได้เลยกรอบอร่อยอมหวานนิดๆ ,pos
การให้บริการจากบริษัทขนส่งดีมากค่าาาาา,pos
ความรวดเร็วในการจัดส่งสินค้าดีมาก ,pos
เปิดกล่องมากลิ่นหอมฟุ้งเลย,pos
ชาหอมจริงๆ ทำขายได้สบายเลย,pos
กลับมาสั่งอีกแน่นอนค่ะ ,pos
แถมส่งเร็วทันใจอีกด้วย,pos
กินหมดแล้วจะสั่งเพิ่มนะคะ ,pos
คือดีงามค่ะ,pos
ชาก็หอม ,pos
โอกาศหน้าจะต้องสั่งอีกแน่ๆ,pos
ทางร้านค้าเทคแคร์ดีมาก ,pos
ชอบตรงเป้า2ชั้น ยืดได้เยอะ ใส่ไม่อึดอัด ,pos
ส่งก็ไว ,pos
ถึงกับต้องกลับมาสั่งอีก  ,pos
ไว้จะอุดหนุนอีกนะคะ,pos
จัดส่งรวดเร็วดี การให้บริการจากร้านค้าดี ,pos
กำลังแนะนำให้พี่สาวสั่งไปค่ะ,pos
ปลาชิ้นกำลังดีไม่เล็กเกิน ,pos
แพ็คมาอย่างดีไม่มีกลิ่นเลย ,pos
ถุงขนมไม่มีการเป็นรูหรือฉีกขาด,pos
โดยรวมแล้วโอเค,pos
แม่ค้าน่ารัก มีเขียนมาแนะนำ ,pos
ที่บ้านชอบทานปลาอินทรีย์มาก ,pos
ประทับแม่ค้า,pos
พอได้รับของ ดูรู้เลยว่า มีความสดใหม่ ความมันจากในเนื้อปลา ,pos
ส่งมาผิดสี   ค่าส่งน่าจะมากกว่าราคาสินค้า ,neg
ไม่อร่อยเท่าที่เคยกิน ,neg
แอบหย่อนกิโลไปนิด,neg
บางและแตกหักไม่เต็มดอก,neg
สำหรับเรามันไม่ค่อยอร่อย ,neg
สำหรับเราไม่ค่อยโอ,neg
มันไปหน่อย มีเคลือบน้ำตาลด้านนอกด้วย ,neg
ไม่ค่อยอร่อยเท่าไหร่,neg
ปลาเละเป็นน้ำเรย,neg
ได้สินค้ามาไม่ตรงกับที่ต้องการ,neg
ปลาโคตรเค็ม กินแล้วกลัวเป็นโรคไต,neg
มีหนอนนะค่ะ,neg
หักคะแนนเพราะส่งสินค้าไม่ครบ ,neg
ขนาดเล็กกว่าที่คิด ,neg
ได้ลายซ้ำกันไป,neg
ไม่ตรงตามแบบ ,neg
เหมือนตัวจะเล็กไปหน่อยสำหรับเอว24​ ,neg
อบไม่ค่อยแห้งเท่าไหร่ค่ะ ,neg
การขนล่าช้ามากค่ะ ,neg
ไซต์เล็กกว่าปกติมาก,neg
ได้รับสินค้าไม่ตรงไซน์ที่สั่ง,neg
การให้บริการจากบริษัทขนส่งแย่ ,neg
น่าจะแจ้งก่อนนะคะ ไม่ใช่ปล่อยให้งง ,neg
คุณภาพไม่เหมือนกินสมัยแต่ก่อน รสเฝื่อนนิดๆ,neg
ไม่คิดว่าบรรจุภัณฑ์จะเป็นแบบนี้ ,neg
มีตำหนิเป็นรอยสนิมจากเข็มกลัด ,neg
เหมือนเอาของเก่าปนมา ,neg
อมน้ำมันไปนิดนึง,neg
แอบผิดหวังกับลายค่ะ ลายเกิน ไม่หวานเลยสักนิด,neg
ออกจะแฉะแล้วก็ไม่ค่อยเป็นเม็ดค่ะ,neg
ขนาดไม่เท่ากันค่ะ,neg
ความรวดเร็วในการจัดส่งช้ามาก,neg
มีรอยขาด,neg
การจัดส่งช้ากว่ากำหนด 3 วันค่ะ,neg
ส่งผิดขนาดผิดสีมาให้,neg
สั่งสีดำได้สีเนื้อค่ะ,neg
ลูกใส่แล้วรั้งคะ ใส่ไม่พอดีเลยคะ,neg
มีตำหนินิดหน่อย,neg
ได้สินค้าไม่ตรงกับที่แจ้งแม่ค้าไปค่ะ,neg
ส่งช้าอ้ะ เปนอาทิตย์,neg
เห็ดหอมมีก้านทำให้น้ำหนักเยอะแล้วก็เก่า,neg
สั่งของผู้ชายได้ของผู้หญิงมาแทน,neg
ลองกินแล้ว มันไม่นุบนับอร่อยอย่างที่คิด,neg
ส่งผิดไซส์ ทั้ง 3 ตัว ,neg
ความคุ้มค่าแย่,neg
ถือว่ายังไม่มีความคุ้มค่ารึพิเศษอะไรค่ะ.,neg
ไม่ปลื้ม,neg
ถามแชทไปทางร้านไม่ตอบเลยค่ะ ,neg
คุณภาพของสินค้าแย่,neg
ความรวดเร็วในการจัดส่งแย่มาก ,neg
การให้บริการจากร้านค้าแย่มากๆ ,neg
เจอแม่ค้ามาต่อว่า  ,neg
แทนที่จะแก้ไข  ,neg
สินค้าไม่ได้ตามที่สั่ง ,neg
ไม่อร่อย  ,neg
สั่งอย่างหนึ่งได้อย่างหนึ่ง ,neg
ไม่คุ้มกับความรู้สึกเมื่อเจอ  ,neg
ถุงเท้าแข็งมากใส่ไม่สบายเลย,neg
ถ้าคุณยอมรับความคิดเห็นไม่ได้ยังสมควรขายสินค้าอยู่มั้ย,neg
ต้องพิจารณาตัวเองแล้วคะ,neg
แม่ค้าร้านนี้ไม่รับฟังความคิดเห็นของลูกค้าโปรดระวังด้วยคะ  ,neg
ถ้าคิดจะเตือนแม่ค้าไม่ต้องเตือนคะ ,neg
การให้บริการจากร้านค้าแย่มาก,neg
คุณภาพของสินค้าแย่มาก ,neg
คุณภาพของสินค้าบางเกิน ,neg
คุณภาพของสินค้าแย่มาก ,neg
ความคุ้มค่าแย่มาก,neg
ส่งช้า,neg
ส่งของไม่ครบ ,neg
ชาไม่หอมเลย ,neg
"ไส้คือ ""กระจิ๊ด"" มาก คือแทบจะไม่มีเลย ควรปรับปรุงตรงนี้นะครับ",neg
ชิ้นค่อนข้างเล็ก แตก เป็นผง,neg
เราว่ารสเค็มเด่นเกินไป,neg
หน้าเลยไม่สวย,neg
เล็กกว่าที่คิดมากก ,neg
คิดว่าเป็นกาละแม ผิดหวังค่ะ ,neg
เหมือนเก็บไว้นาน,neg
มีแต่รสหวาน ไม่มีกลิ่นหอมของส่วนผสม ,neg
ไม่หอม ,neg
ผิดหวังมาก ไม่เหมือนชาชงที่ไปกินที่ใต้เลย ,neg
สั่งเอาแต่สีดำแต่ส่งแต่สีอื่นมาเต็มไปหมดนี้ละ ,neg
แข็งหนา ,neg
ตะเข็บเย็บไม่ดี ,neg
บางมาก ,neg
มีหนอนทุกฝัก  ,neg
สิ้นค้าไม่เหมือนกัน,neg
สั่งเซต เด็กชายได้เซท เด็กผู้หญิงคะ,neg
มันไม่นุบนับอร่อยอย่างที่คิด,neg
ความคุ้มค่าแย่,neg
บางและเล็กไปหน่อย,neg
ไม่อร่อย ,neg
ไม่ค่อยหอมมมม,neg
ไม่ค่อยอร่อยเท่าไหร่,neg
ได้สินค้ามาไม่ตรงกับที่ต้องการ,neg
ทักแชท แม่ค้าไม่อ่านแชทเลย,neg
แต่การบริการไม่โอเครเลยค่ะ ,neg
ตัวเล็กกว่าขนาดไซด์,neg
ผ้าบาง,neg
การให้บริการจากร้านค้าแย่มาก,neg
แพ็คของไม่ละเอียด ,neg
ขอให้1 ดาวละกัน,neg
แล้วของขาดนี่ให้ชมหรอคะ,neg
สากๆยังไงไม่รู้คะ,neg
ไม่มีสำนึก ขอให้ขายของดีนะจ้ะ ,neg
การให้บริการไม่ประทับใจเลย ,neg
คงไม่อุดหนุนละค่ะ,neg
คิดเยอะๆคะ,neg
ขอเตือน  ,neg
คนแบบนี้ไม่ไหวจริงๆ,neg
ซื้อร้านอื่นเลยคะ ,neg
เลยทิ้งทั้งหมดที่ซื้อ,neg
เป้าขาด ,neg
ความคุ้มค่าแย่มาก ,neg
ความรวดเร็วในการจัดส่งแย่มาก,neg
สินค้าดูเก่าดีค่ะเนื้อผ้าบางเฉียบ,neg
ที่เพชรบุรีอร่อยกว่านี้นะ,neg
ลอกหมดเลยค่ะ,neg
ใส่ไม่ได้ผ้าไม่ดี ,neg
หวานเกิ๊น,neg
ไม่อร่อยค่ะ ,neg
ขนมเจาะหูยิ่งแย่ หวานมากและแข็ง,neg
เวลาลูกค้าไม่รับของอย่าว่าเค้าเลย,neg
เพราะแม่ค้าก้อมักง่าย ,neg
อยากส่งอะไรก้อส่งมา,neg
ทิ้งคะ,neg
แป้งไม่สุก ,neg
ไม่อร่อยเลย,neg
ขาดคะ ,neg
ผิดเบอร์ค่ะ,neg
ฝักนึงมีหนอนแทบทุกเม็ด ,neg
กินไม่ได้เลยค่ะ ,neg
ทิ้งหมดเลย,neg
เหม็นแป้งดิบมาก ,neg
ไม่มีกลิ่นชา,neg
ไม่มีกลิ่นหอมชาค่ะ ใส่เยอะก็ยังไม่หอม,neg
อบไม่ค่อยแห้งเท่าไหร่ค่ะ,neg
ออกจะแฉะแล้วก็ไม่ค่อยเป็นเม็ดค่ะ,neg
ใส่ได้วันเดียวขาด,neg
ถุงเท้าบางมากก นึกว่าจะหนา ,neg
เสียดายเงิน,neg
ส่งสินค้ามาผิดค่ะ,neg
แต่มันเสียความรู้สึก ,neg
แม่ค้าควรจะรับผิดชอบส่วนที่ไม่ครบ ,neg
เสียตรงหีบห่อค่ะ ,neg
ของมาถึงมีมดขึ้นด้วย ,neg
ถ้าถึงช้ากว่านี้มดคงยิ่งเยอะเลย,neg
ปลามีมดเดินอยู่ในถุงเกือบร้อยตัวได้    ,neg
เสียเงินเสียเวลา ,neg
ถ้างั้นร้านควรจะซีลให้แน่นหนากว่านี้รึเปล่า,neg
นี่ซีลถุงพลาสติกแค่ชั้นเดียวเองมดเลยเจาะทะลุง่ายๆ,neg
เอาเป็นว่ายังไงก็รับไม่ได้กับอาหารที่มาพร้อมมดแบบนี้นะคะ,neg
ไว้เป็นบทเรียนว่าไม่ควรสั่งอาหารส่งพัสดุมาแบบนี้อีก,neg
ถุงมีรอยปริ ,neg
เศษเล็กๆหกเลอะเทอะในกล่อง ,neg
เนื้อปลาแข็งไปหน่อย,neg
แอบมีกลิ่นเหม็นหืน ,neg
ปรับปรุงเรื่องกลิ่นหืนจะดีมากๆเลยค่ะ,neg
ทางร้านให้ทุเรียนกวนมาไม่ถึงที่แจ้งไว้,neg
แบบมีแค่3 แบบเองคะ  ไม่หลากหลายเลย,neg
ซื้อ1โหลก็จะได้แต่ลายซ้ำๆ,neg
Size ไม่มาตรฐาน,neg
ใส่แล้วตะเข็บขาด,neg
เคอร์รี่มาฝากสินค้าไว้แต่ไม่ค่อยโทรแจ้ง ,neg
บอกให้โทรถึงจะโทรแจ้ง ,neg
ถ้าไม่บอกให้โทรก็ไม่โทร,neg
ส่งมาผิดสี,neg
เนื้อผ้าค่อนข้างบาง ,neg
ผ้าลื่นๆ น่าจะไม่ค่อยซับเหงื่อ ,neg
สินค้ามีตำหนิ ,neg
ถุงเท้าจริงสั้นกว่ารูปตัวอย่างมาก,neg
สินค้าไม่ตรงกับที่สั่ง ,neg
ไม่มีรูปบอกสินค้าที่ชัดเจน ,neg
ส่งของช้า ,neg
เนื้อผ้าบางไม่หนาอย่างที่เคยซื้อจากที่อื่น,neg
อย่างน้อยคือควรมิดชิดหน่อยค่ะ ฝากไว้ปรับปรุงแก้ไขด้วยค่ะ,neg
บางตัวขอบยุ่ย ,neg
การจัดส่งช้าไปหน่อย,neg
สะตอรสชาติแปลกๆ ,neg
สะตอมีเสียหาย,neg
แล้วก็เจอหนอนเยอะไปหน่อย ,neg
ผิดหวังนิดหน่อย,neg
คุณภาพ​สินค้า​น้อยลง,neg
ไม่กรอบเท่าไหร่ มันเหนียวๆ,neg
รสสัมผัสและรสชาติไม่ได้เลย ,neg
ไม่ได้นิ่มแบบที่คิดค่ะ,neg
ขนมเหนียวไปหน่อย เคี้ยวยาก ,neg
แต่ละแผ่นมันหนาและทึบมาก ,neg
คุณภาพของสินค้าแย่ ,neg
หวานจัด แป้งสุกไม่ทั่วถึง ,neg
บางชิ้นเหมือนมีกลิ่นคาว,neg
กลิ่นคาวปลาจะมากหน่อย ,neg
แข็งมาก ,neg
เนื้อปลาแห้งเป็นผลึกน้ำตาล,neg
ถุงที่บรรจุพุทรามาขาด ,neg
คุณภาพการจัดส่งไม่ดีครับ เพราะขวดแตก,neg
อาจจะไม่ถูกปากเท่าไหร่ค่ะ,neg
รสชาดแปลกๆ ,neg
รสชาติหวานไปหน่อยและออกเลี่ยนๆนิดๆ,neg
ไม่ได้รับสินค้า,neg
ตัวเล็กกว่าในรูปเยอะเลยคะ,neg
เค็ม ไม่หอม,neg
เนื้อหยาบมาก,neg
กินแล้วอารมณ์ค้างมากๆ,neg
ไม่ใช่อย่างที่ฝัน ,neg
สรุปครั้งเดียวพอ ,neg
เก็บไว้สามวันก้มีราขึ้นแล้ว,neg
ความคุ้มค่าแย่ ,neg
ไม่อร่อยเหมือนที่เคยกิน ,neg
แข็ง หยาบ ไม่นิ่ม,neg
กินแล้วสากๆ,neg
ขนมเจาะหูไม่ถูกปากเลย,neg
โดยส่วนตัวไม่ค่อยถูกปากค่,neg
ปลาสวรรค์เที่ยวนี้ยังไม่ถูกใจ,neg
เหมือนของค้างนาน ,neg
รถชาติไม่โอเลย ,neg
เหมือนเก็บไว้นาน,neg
ทำไมไม่ดูให้ดีก่อนหยิบให้ลูกค้า,neg
กลิ่นแปลกๆ ,neg
ทานไปนิดเดียวเลยทิ้งค่ะ ,neg
ดูแล้วน่าจะย้วยง่าย,neg
ผ้าบางจนตรงสีดำเห็นสีขาวแซมอยู่ ,neg
ส่วนตัวไม่ค่อยชอบ ,neg
ควรมีการตรวจเช็คให้ดีก่อนส่งครับ ,neg
สั่งสีขาวพื้นเทาแต่ได้ขาวล้วน,neg
ส่งมาผิดสี,neg
บางฝักไม่มีกลิ่น ,neg
บางฝักเหมือนสะตอดานแต่กลิ่นไม่ใช่,neg
สะตอขึ้นรา,neg
ถ้าไม่มีสีที่ต้องการควรแจ้งลูกค้า,neg
ไม่ใช่ให้ตีคืน ส่งไปส่งมา,neg
ต้องแก้ตั้งแต่ต้นทางค่ะ,neg
ไม่เหมือนในภาพ,neg
มันจะร่วนๆแข็งๆ น้ำมันเยอะมากเลยค่ะ  ,neg
อย่าใช้อารมณ์ ใช้สมองคะ,neg
กลิ่นถั่วไม่เด่นค่ะ,neg
แต่ส่วนตัวว่ามันไม่หอมถั่ว  ,neg
ใส่ได้ไม่พอดี ,neg
เหนียวติดมือ ,neg
ปลาหมึกร้านนี้เหมือนจะไม่สะอาด ,neg
แม้ค้าส่งของได้ไม่ตามนัด,neg
